"leaid","enr_tot_d","region_d","nschools_elig","epp_d_imp","nschools","enr_tot_imp_avg_d","sme_pct_frp_avg_d","strat_d","distance_d_y","lottery_d_start","lottery_d_end"
4014100,123,3,1,12547.0087890625,1,123,0.845528483390808,"1",0.154458746314049,39636,39636
4014130,480,3,1,7622.56787109375,3,223,0.735426008701324,"3",0.11749916523695,9610,9610
4014160,955,3,1,9727.2724609375,2,608,0.822368443012238,"3",0.127800613641739,26854,26854
4014370,1202,3,1,8398.8759765625,3,616,0.754870116710663,"3",0.11988190561533,12185,12185
4014670,212,3,1,8670.8330078125,2,134,0.753731369972229,"3",0.119708970189095,3785,3785
4014700,763,3,1,8051.05859375,3,398,0.726130664348602,"3",0.11451755464077,10629,10629
4014730,251,3,1,8083.00390625,1,251,0.88844621181488,"1",0.15053191781044,36014,36014
4014850,548,3,1,8575.591796875,3,264,0.75,"3",0.117991052567959,17265,17265
4014890,267,3,1,7982.83251953125,1,267,0.666666686534882,"3",0.124274857342243,18827,18827
4015090,646,3,1,7918.55224609375,2,461,0.659435987472534,"3",0.124840639531612,30169,30169
4015120,670,3,1,7611.84228515625,2,448,0.707589268684387,"3",0.118210844695568,16974,16974
4015240,577,3,1,9603.83984375,3,257,0.747081696987152,"3",0.116371966898441,18306,18306
4015420,210,3,1,10648.5146484375,2,135,0.762962937355042,"3",0.118570595979691,8187,8187
4015450,277,3,1,9117.6474609375,2,185,0.854054033756256,"1",0.154826208949089,17647,17647
4015480,1271,3,1,7378.79931640625,3,592,0.621621608734131,"5",0.100633651018143,22109,22109
4015750,209,3,1,10060.3017578125,1,209,0.784689009189606,"3",0.121660619974136,21441,21441
4015840,1113,3,1,6276.90966796875,3,498,0.520080327987671,"5",0.0958681553602219,25840,25840
4015900,193,3,1,11244.7919921875,1,193,0.512953341007233,"5",0.0943368151783943,29664,29664
4015930,518,3,1,6457.50439453125,1,518,0.332046329975128,"4",0.216838464140892,10795,10795
4015990,875,3,1,8203.296875,3,372,0.830645143985748,"3",0.128890216350555,21745,21745
4016320,97,3,1,9578.947265625,1,97,0.742268025875092,"3",0.11731843650341,8570,8570
4016350,407,3,1,9576.9228515625,2,289,0.844290673732758,"1",0.154610499739647,18390,18390
4016380,621,3,1,8777.2197265625,3,286,0.744755268096924,"3",0.11677186191082,6464,6464
4016470,322,3,1,7682.2431640625,1,322,0.698757767677307,"3",0.119511216878891,39340,39340
4016500,869,3,1,7299.48583984375,3,468,0.564102590084076,"5",0.0912722051143646,6214,6214
4016530,87,3,1,10211.111328125,1,87,0.620689630508423,"5",0.0988688245415688,32263,32263
4016590,1290,3,1,8454.771484375,3,626,0.832268357276917,"1",0.158931419253349,17093,17093
4016620,207,3,1,10540.9833984375,2,162,0.95061731338501,"1",0.14551217854023,19970,19970
4016650,306,3,1,14381.09765625,2,225,0.671111106872559,"3",0.124431930482388,22910,22910
4016710,636,3,1,7048.81640625,3,326,0.843558311462402,"1",0.157472595572472,832,832
4016720,436,3,1,6369.369140625,1,436,0.65596330165863,"3",0.127003148198128,23307,23307
